#945 objects (#289 active) using -324.42% of available memory

OBJECTS BY TYPE
number (active) [garbage/   dead/outside/at-rest] maxsize totsize
    25 (    16) [      0/      9/      9/     23]    8440  174770 biped
     1 (     0) [      0/      0/      1/      1]     382     382 scenarios\objects\solo\earthcity\nm_walkways\walkway_transition\walkway_transition
     1 (     0) [      0/      0/      1/      1]     382     382 scenarios\objects\solo\earthcity\nm_walkways\walkway_end\walkway_end
     1 (     1) [      0/      0/      0/      1]     382     382 scenarios\objects\covenant\military\cov_guntower\cov_guntower_base\cov_guntower_base
     1 (     1) [      0/      0/      0/      1]     370     370 scenarios\objects\solo\earthcity\concrete_chunks\concrete_chunk_j\concrete_chunk_j
     1 (     1) [      0/      0/      0/      1]     370     370 objects\gear\human\military\barricade_small\barricade_small
     1 (     0) [      0/      0/      1/      1]     370     370 objects\gear\human\military\blitzcan\blitzcan
     1 (     1) [      0/      0/      0/      0]     370     370 scenarios\objects\human\military\barricade_large_gap\barricade_large_gap
     1 (     0) [      0/      0/      1/      1]     370     370 scenarios\objects\solo\earthcity\soccer_ball\soccer_ball
     1 (     1) [      0/      0/      0/      1]     370     370 objects\gear\human\military\barricade_large\barricade_large
     1 (     0) [      0/      0/      1/      1]     370     370 objects\gear\human\military\antennae_mast\antennae_mast


